8.906209567864321E-6,1.5058146877463285E-5
5.965843456368666E-6,7.377569947593081E-6
4.893367432084849E-6,5.101085016692591E-6
1.1202487594439988E-6,6.081256746914184E-6
1.4045078824656417E-5,8.746618068940863E-6
4.82619694614868E-6,7.984878517575854E-6
1.908790400186056E-5,6.01469356502601E-6
1.6666387725665474E-5,1.2324310837860875E-5
1.846332275075885E-5,1.5430329560953363E-5
1.6658362674259567E-5,4.409952478716353E-6
7.098009286712717E-6,1.682503380669393E-5
1.4578430038861805E-5,1.5739109485466713E-5
3.2684157951346813E-6,1.711845243843109E-5
1.0742878751904784E-5,1.4772400217031292E-5
1.4338126085560631E-5,9.335708521229588E-6
4.1626729062827605E-6,1.5043862776010898E-5
1.2993123756085496E-5,3.9940043844099995E-6
1.038719131334107E-5,4.480080598037566E-6
4.565523180448754E-6,1.708721904826402E-5
1.540380820394469E-5,6.815784895785421E-6
1.34695871373175E-5,2.7109870969076222E-6
4.835020462938919E-6,7.036392275576827E-8
1.4813766858041054E-5,1.0219290238430257E-5
1.178778699895597E-5,6.173474222494171E-6
1.162157037503275E-6,1.3973402917192239E-5
1.2575904048188702E-5,6.818037949060233E-6
1.4610594513015409E-5,1.2930973556295346E-5
5.547689810567297E-6,1.7902453048428565E-5
1.436004713020876E-5,1.3839784516508757E-5
3.928857047135648E-6,3.0518391943437427E-6
1.1930449132051728E-5,1.415320183536267E-5
1.1593519120994705E-5,1.4243377132526674E-5
1.4471187229159577E-5,1.2027755111103808E-5
4.59407099850766E-6,8.873359679548987E-6
4.244858762316461E-6,4.966416257779686E-6
1.3664890568971258E-5,5.1637040834103145E-6
3.5008847344770563E-6,6.500911288253539E-6
1.837223912393401E-5,4.374641240626834E-6
1.9508202423834825E-5,4.0098508264312495E-6
1.4571950480265242E-5,1.151070600723366E-5
1.2707747233795333E-5,5.346427660281652E-6
1.3343825648424363E-6,1.51535856955464E-5
2.737785441938604E-6,1.6931721804917107E-5
1.5920801141529598E-5,1.1663480924383321E-5
1.6483737474337607E-5,1.7589623027788405E-5
1.698252833689112E-5,1.4522906696134081E-5
2.468800541441336E-6,6.1588394626593106E-6
1.1110360087732617E-5,4.5141803382601056E-6
4.470415297808433E-6,2.694395178360481E-6
4.285342950098781E-6,8.608127077835608E-6
1.369422185259199E-5,2.791713190833893E-6
5.533183607616655E-6,1.9670293730836257E-5
1.770765641551133E-5,1.4264349185947939E-5
1.717743157620258E-5,1.3951586307468786E-5
1.4089536575065462E-5,5.697795413495098E-6
1.1139603692989862E-5,1.5645592586966957E-5
1.8661726156996915E-5,1.3894859583240703E-5
1.0457816865442318E-5,1.525451541605188E-5
1.7122762106166138E-5,1.677325985662559E-5
3.809151614358948E-6,1.5108751281274703E-5
8.022022717101822E-6,1.607907947752585E-5
7.56985401261139E-6,1.5155537337304177E-5
5.199261866055044E-6,5.518052153819518E-7
1.9244119971994728E-5,5.947082722929465E-6
9.515356005352611E-6,1.5362802270035954E-5
1.5289322955102293E-5,1.8382225375748444E-5
4.278196641220116E-6,1.7734986735608528E-5
8.40056994613804E-6,4.539675553675328E-6
1.9661804338981623E-5,4.34165242874942E-6
5.823202142218166E-7,4.621370077741656E-6
1.1442696080301987E-5,4.9552272756567025E-6
3.3321122019539797E-6,1.5552973684956982E-5
1.4576680462464023E-5,5.465285401842455E-6
4.102717746442036E-6,1.0775662887861138E-5
3.5101591854239243E-6,7.61037347140769E-6
1.5117693928484219E-6,6.062231610767109E-6
5.217635063767506E-6,1.514925636597888E-5
3.6720338844871964E-7,4.397047422862373E-6
1.402260709614303E-5,9.925901395738198E-6
1.2538735516769295E-5,3.708063146518112E-6
1.6356794769413107E-5,1.2844571270433674E-5
1.3023166151010971E-5,1.3423579524611891E-5
3.992913168197818E-6,1.9173322731347E-6
1.970227496810809E-5,5.57825310844288E-6
2.1508595993737877E-6,1.496847451958934E-5
1.824178330658455E-5,4.69707470948618E-6
1.4077306875733716E-5,9.626425759851658E-6
7.0012648977432505E-6,5.252272178297758E-6
5.284583272865251E-6,1.8621660330510754E-5
1.5518319675364714E-5,1.4496160928312636E-5
1.443487209237704E-5,1.1192577546677308E-5
1.3077340474753438E-5,6.773600172691378E-6
3.744676131815559E-6,1.4116727334117311E-6
1.7304051706774966E-5,1.567291679125737E-5
1.427622325209686E-5,1.3593321595364856E-5
7.285867152803475E-6,1.582652202512845E-5
1.387747340390315E-5,1.2078537321487951E-5
1.85463500187375E-5,1.3947910417379887E-5
3.4736987496614433E-6,1.641648343225646E-5
1.3049086541315627E-6,1.6178101610793815E-5
1.7665980816225344E-5,4.053490899040384E-6
1.0994339866213787E-5,4.3270632960955075E-6
1.3826294572767449E-5,1.8585744907973713E-5
5.913200190513002E-6,8.005165054570884E-6
1.583607702080116E-5,1.2024028783395108E-5
4.483443217309834E-6,1.9726056520374722E-5
5.987723558003607E-6,1.9537593030232356E-5
1.7988926258585604E-5,1.518119600111754E-5
5.67539015833011E-6,1.297408390104179E-5
2.2935715378134933E-6,1.6091543544399935E-5
4.868563249458491E-6,7.52553098781011E-6
1.7174043291326207E-5,1.6402713711374624E-5
5.567861138736637E-6,1.259426495209552E-5
1.4194055925839948E-5,1.3794031604792213E-6
3.170895195879977E-6,1.7109058637862285E-5
1.530579505788306E-5,1.5110899524587955E-5
5.158612868141497E-6,6.746430311381971E-6
1.6889881340931246E-5,5.227852878409607E-6
9.199237531256938E-6,4.014583475733322E-6
